"Номенклатурный номер";"Наименование";"Пр-во";"Кол-во";"Цена, RUB";"Дата доставки";"Сумма, RUB"
"8015520628";"HX711 модуль АЦП 24-битный 2-канальный, c металлическим экраном";"СКБ Элемент";1;950,00;"3 марта Под заказ г.Москва";950,00
"8007490052";"Тензодатчик BSA-1000";"CAS";1;4680,00;"6 марта Под заказ г.Москва";4680,00
"8872951849";"Модуль АЦП 24 бит, HX711, (совместимый с Ардуино)";"No trademark";3;180,00;"10 марта Под заказ г.Москва";540,00
"748316062";"74HC244D,653, Два шинных формирователя [SO-20]";"Nexperia";2;58,00;"1 марта Со склада г.Москва";116,00
"9000522272";"LM7812CT, Линейный регулятор напряжения, Io=1.5А, Vo=+12В [TO-220]";"Inchange";2;79,00;"20 февраля Из магазина  г.Ярославль";158,00
"8007021028";"LM7805";"CDIL";2;160,00;"6 марта Под заказ г.Москва";320,00
"9000117417";"BC847,215, Транзистор NPN 45В 0.1А, [SOT-23]";"Nexperia";6;9,00;"20 февраля Из магазина  г.Ярославль";54,00
"9000300932";"UC2845BD1013TR, Токовый ШИМ-контроллер [SOIC-8]";"ST Microelectronics";6;81,00;"1 марта Со склада г.Москва";486,00
"8001973120";"IRS2003S";"Infineon";5;254,00;" ";1270,00
"43535";"BZV55C15, Стабилитрон 15В, 5%, 0.5Вт, MiniMELF";"Китай";10;2,00;"20 февраля Из магазина  г.Ярославль";20,00
"9000461664";"1N4007, Диод выпрямительный 1А 1000В [DO-41]";"Diotec";22;5,00;"20 февраля Из магазина  г.Ярославль";110,00
"104238773";"ECAP NP (К50-6), 22 мкФ, 35В 105°C, Конденсатор электролитический алюминиевый неполярный";"Китай";16;33,00;"1 марта Со склада г.Москва";528,00
"9000274015";"ECAP (К50-35 мини), 10 мкФ, 35 В, 105°, 5X5мм, Конденсатор электролитический алюминиевый миниатюрный";"Тайвань";20;13,00;"1 марта Со склада г.Москва";260,00
"8008634729";"Конденсатор электролитический, емкость 220мкФ, 35В, размер 10x13, номинальное отклонение 20, +105C, алюминий, выводы 2L5, UPW, NICHICON";"No trademark";5;90,00;"3 марта Под заказ г.Москва";450,00
"19287";"К10-17А Н90 1.0мкФ, Конденсатор керамический выводной";"Монолит";10;150,00;"1 марта Со склада г.Москва";1500,00
"47455";"К10-17А Н50 0.01 мкФ, Конденсатор керамический выводной";"Монолит";20;54,00;"1 марта Со склада г.Москва";1080,00
"783821698";"К10-17А М1500 1000пФ, 10%, Конденсатор керамический выводной";"Монолит";20;73,00;"1 марта Со склада г.Москва";1460,00
"9259";"К10-17А Н50 0.1 мкФ, Конденсатор керамический выводной";"Монолит";20;73,00;"1 марта Со склада г.Москва";1460,00
"";;;;;"Сумма товаров в заказе, RUB";15442,00
"";;;;;"Кол-во товаров в заказе";18
